offer_id,driver_id,passenger_id,request_id,driver_x,driver_y,passenger_x,passenger_y,driver_type,passenger_preference,distance_to_pickup_km,estimated_wait_time_min,driver_rating,trip_distance_km,surge_multiplier,traffic_multiplier,offered_price,score,max_wait_time_min,driver_availability,eligible_offer,offer_rank_for_passenger,recommendation_flag
O0001,D001,P001,R001,75,54,53,68,balanced,fast,26.08,67.1,4.4,10.3,1.19,1.14,42.64,55.06,5,available,No,,Filtered out
O0002,D002,P001,R001,57,75,53,68,economical,fast,8.06,26.1,4.4,10.3,1.19,1.14,24.22,22.67,5,available,No,,Filtered out
O0003,D003,P001,R001,13,11,53,68,premium,fast,69.63,129.7,4.9,10.3,1.19,1.14,91.02,108.5,5,available,No,,Filtered out
O0004,D004,P001,R001,70,37,53,68,economical,fast,35.36,110.9,4.4,10.3,1.19,1.14,42.62,85.71,5,available,No,,Filtered out
O0005,D005,P001,R001,29,12,53,68,balanced,fast,60.93,120.1,4.6,10.3,1.19,1.14,72.45,98.1,5,unavailable,No,,Filtered out
O0006,D006,P001,R001,9,77,53,68,economical,fast,44.91,114.8,4.3,10.3,1.19,1.14,46.59,89.25,5,available,No,,Filtered out
O0007,D007,P001,R001,41,98,53,68,economical,fast,32.31,79.9,4.1,10.3,1.19,1.14,40.06,63.53,5,available,No,,Filtered out
O0008,D008,P001,R001,27,83,53,68,economical,fast,30.02,80,4.2,10.3,1.19,1.14,36.56,62.89,5,available,No,,Filtered out
O0009,D009,P001,R001,54,74,53,68,economical,fast,6.08,17,4.3,10.3,1.19,1.14,24.25,16.32,5,available,No,,Filtered out
O0010,D010,P001,R001,87,54,53,68,economical,fast,36.77,87.7,4.1,10.3,1.19,1.14,36.07,68.19,5,available,No,,Filtered out
O0011,D011,P001,R001,14,87,53,68,economical,fast,43.38,99.9,4.7,10.3,1.19,1.14,47.04,78.87,5,available,No,,Filtered out
O0012,D012,P001,R001,33,64,53,68,balanced,fast,20.4,50.8,4.5,10.3,1.19,1.14,41.95,43.5,5,available,No,,Filtered out
O0013,D013,P001,R001,99,67,53,68,balanced,fast,46.01,93.6,4.6,10.3,1.19,1.14,54.42,75.94,5,available,No,,Filtered out
O0014,D014,P001,R001,72,10,53,68,balanced,fast,61.03,144.9,4.4,10.3,1.19,1.14,66.93,114.38,5,available,No,,Filtered out
O0015,D015,P001,R001,33,67,53,68,balanced,fast,20.02,43.8,4.8,10.3,1.19,1.14,38.71,37.92,5,available,No,,Filtered out
O0016,D016,P001,R001,47,56,53,68,balanced,fast,13.42,27.2,4.6,10.3,1.19,1.14,34.76,25.53,5,available,No,,Filtered out
O0017,D017,P001,R001,80,7,53,68,balanced,fast,66.71,191.1,4.3,10.3,1.19,1.14,66.68,146.68,5,available,No,,Filtered out
O0018,D018,P001,R001,73,73,53,68,economical,fast,20.62,48,4.2,10.3,1.19,1.14,29.12,39,5,available,No,,Filtered out
O0019,D019,P001,R001,93,6,53,68,economical,fast,73.78,220.4,4.3,10.3,1.19,1.14,58.17,165.48,5,available,No,,Filtered out
O0020,D020,P001,R001,57,17,53,68,balanced,fast,51.16,101,4.3,10.3,1.19,1.14,60.33,82.34,5,available,No,,Filtered out
O0021,D021,P001,R001,69,1,53,68,economical,fast,68.88,205.8,4.6,10.3,1.19,1.14,58.97,155.39,5,available,No,,Filtered out
O0022,D022,P001,R001,0,49,53,68,premium,fast,56.3,117.7,4.7,10.3,1.19,1.14,93.11,100.54,5,available,No,,Filtered out
O0023,D023,P001,R001,19,24,53,68,premium,fast,55.61,103.8,4.7,10.3,1.19,1.14,88.93,89.98,5,available,No,,Filtered out
O0024,D024,P001,R001,67,20,53,68,economical,fast,50,156.5,4.5,10.3,1.19,1.14,45.6,118.22,5,available,No,,Filtered out
O0025,D025,P001,R001,72,31,53,68,premium,fast,41.59,82.3,4.7,10.3,1.19,1.14,71.84,71.51,5,unavailable,No,,Filtered out
O0026,D026,P001,R001,40,30,53,68,balanced,fast,40.16,84.2,4.5,10.3,1.19,1.14,51.05,68.7,5,available,No,,Filtered out
O0027,D027,P001,R001,72,12,53,68,economical,fast,59.14,150.8,4.2,10.3,1.19,1.14,47.51,114.64,5,available,No,,Filtered out
O0028,D028,P001,R001,69,90,53,68,balanced,fast,27.2,65.2,4.4,10.3,1.19,1.14,45.03,54.21,5,available,No,,Filtered out
O0029,D029,P001,R001,17,33,53,68,balanced,fast,50.21,144.1,4.6,10.3,1.19,1.14,66.29,113.67,5,available,No,,Filtered out
O0030,D030,P001,R001,33,64,53,68,premium,fast,20.4,47.5,4.7,10.3,1.19,1.14,54.09,43.6,5,available,No,,Filtered out
O0031,D031,P001,R001,81,33,53,68,economical,fast,44.82,96.8,4,10.3,1.19,1.14,39.53,75.27,5,available,No,,Filtered out
O0032,D032,P001,R001,4,47,53,68,balanced,fast,53.31,152.9,4.5,10.3,1.19,1.14,66.59,119.9,5,available,No,,Filtered out
O0033,D033,P001,R001,26,87,53,68,balanced,fast,33.02,78.9,4.3,10.3,1.19,1.14,51.85,65.17,5,unavailable,No,,Filtered out
O0034,D034,P001,R001,20,22,53,68,balanced,fast,56.61,130.1,4.6,10.3,1.19,1.14,70.75,104.76,5,available,No,,Filtered out
O0035,D035,P001,R001,89,13,53,68,economical,fast,65.73,161.6,4.2,10.3,1.19,1.14,60.99,124.9,5,available,No,,Filtered out
O0036,D036,P001,R001,84,24,53,68,premium,fast,53.82,112.6,4.7,10.3,1.19,1.14,90.06,96.36,5,available,No,,Filtered out
O0037,D037,P001,R001,42,3,53,68,economical,fast,65.92,174.4,4.7,10.3,1.19,1.14,58.92,133.39,5,available,No,,Filtered out
O0038,D038,P001,R001,55,77,53,68,premium,fast,9.22,22,4.8,10.3,1.19,1.14,42.79,23.48,5,available,No,,Filtered out
O0039,D039,P001,R001,92,94,53,68,economical,fast,46.87,146.7,4.1,10.3,1.19,1.14,48.49,111.98,5,available,No,,Filtered out
O0040,D040,P001,R001,38,64,53,68,balanced,fast,15.52,32.2,4.3,10.3,1.19,1.14,37.01,29.51,5,available,No,,Filtered out
O0041,D041,P001,R001,22,78,53,68,balanced,fast,32.57,70.6,4.6,10.3,1.19,1.14,50.6,59.08,5,available,No,,Filtered out
O0042,D042,P001,R001,56,56,53,68,economical,fast,12.37,33.5,4,10.3,1.19,1.14,27.36,28.52,5,available,No,,Filtered out
O0043,D043,P001,R001,11,96,53,68,economical,fast,50.48,144.9,4.6,10.3,1.19,1.14,47.86,110.54,5,available,No,,Filtered out
O0044,D044,P001,R001,58,53,53,68,balanced,fast,15.81,46.1,4.4,10.3,1.19,1.14,38.15,39.46,5,available,No,,Filtered out
O0045,D045,P001,R001,98,13,53,68,balanced,fast,71.06,163,4.5,10.3,1.19,1.14,69.11,127.47,5,available,No,,Filtered out
O0046,D046,P001,R001,59,85,53,68,economical,fast,18.03,43.5,4.5,10.3,1.19,1.14,30.23,36.05,5,available,No,,Filtered out
O0047,D047,P001,R001,70,57,53,68,premium,fast,20.25,43,5,10.3,1.19,1.14,54.66,40.53,5,available,No,,Filtered out
O0048,D048,P001,R001,30,35,53,68,balanced,fast,40.22,102.9,4.4,10.3,1.19,1.14,55.11,82.61,5,available,No,,Filtered out
O0049,D049,P001,R001,19,90,53,68,economical,fast,40.5,103.6,4.2,10.3,1.19,1.14,37.06,79.51,5,available,No,,Filtered out
O0050,D050,P001,R001,89,2,53,68,economical,fast,75.18,184.7,4.4,10.3,1.19,1.14,60.02,140.85,5,available,No,,Filtered out
O0051,D001,P002,R002,75,54,85,86,balanced,fast,33.53,84.5,4.4,14.2,1.1,1.12,53.03,69.32,7,available,No,,Filtered out
O0052,D002,P002,R002,57,75,85,86,economical,fast,30.08,92.9,4.4,14.2,1.1,1.12,41.35,72.86,7,available,No,,Filtered out
O0053,D003,P002,R002,13,11,85,86,premium,fast,103.97,189.8,4.9,14.2,1.1,1.12,126.59,157.69,7,available,No,,Filtered out
O0054,D004,P002,R002,70,37,85,86,economical,fast,51.24,157.5,4.4,14.2,1.1,1.12,56.76,121.16,7,available,No,,Filtered out
O0055,D005,P002,R002,29,12,85,86,balanced,fast,92.8,179.2,4.6,14.2,1.1,1.12,101.73,145.33,7,unavailable,No,,Filtered out
O0056,D006,P002,R002,9,77,85,86,economical,fast,76.53,191.5,4.3,14.2,1.1,1.12,69.35,147.49,7,available,No,,Filtered out
O0057,D007,P002,R002,41,98,85,86,economical,fast,45.61,110.5,4.1,14.2,1.1,1.12,52.21,87.38,7,available,No,,Filtered out
O0058,D008,P002,R002,27,83,85,86,economical,fast,58.08,151.1,4.2,14.2,1.1,1.12,56.58,116.67,7,available,No,,Filtered out
O0059,D009,P002,R002,54,74,85,86,economical,fast,33.24,86.9,4.3,14.2,1.1,1.12,43.63,69.13,7,available,No,,Filtered out
O0060,D010,P002,R002,87,54,85,86,economical,fast,32.06,75.3,4.1,14.2,1.1,1.12,37.43,59.79,7,available,No,,Filtered out
O0061,D011,P002,R002,14,87,85,86,economical,fast,71.01,160.1,4.7,14.2,1.1,1.12,68.72,125.34,7,available,No,,Filtered out
O0062,D012,P002,R002,33,64,85,86,balanced,fast,56.46,136.5,4.5,14.2,1.1,1.12,75.62,110.22,7,available,No,,Filtered out
O0063,D013,P002,R002,99,67,85,86,balanced,fast,23.6,47.6,4.6,14.2,1.1,1.12,44.32,41.72,7,available,No,,Filtered out
O0064,D014,P002,R002,72,10,85,86,balanced,fast,77.1,179.7,4.4,14.2,1.1,1.12,83.09,141.97,7,available,No,,Filtered out
O0065,D015,P002,R002,33,67,85,86,balanced,fast,55.36,117.3,4.8,14.2,1.1,1.12,68.29,95.29,7,available,No,,Filtered out
O0066,D016,P002,R002,47,56,85,86,balanced,fast,48.41,93.9,4.6,14.2,1.1,1.12,63.97,78.06,7,available,No,,Filtered out
O0067,D017,P002,R002,80,7,85,86,balanced,fast,79.16,222.6,4.3,14.2,1.1,1.12,79.59,171.31,7,available,No,,Filtered out
O0068,D018,P002,R002,73,73,85,86,economical,fast,17.69,40.6,4.2,14.2,1.1,1.12,31.78,34.36,7,available,No,,Filtered out
O0069,D019,P002,R002,93,6,85,86,economical,fast,80.4,235.9,4.3,14.2,1.1,1.12,65.58,177.82,7,available,No,,Filtered out
O0070,D020,P002,R002,57,17,85,86,balanced,fast,74.46,144,4.3,14.2,1.1,1.12,81.06,116.58,7,available,No,,Filtered out
O0071,D021,P002,R002,69,1,85,86,economical,fast,86.49,253.7,4.6,14.2,1.1,1.12,73.1,191.75,7,available,No,,Filtered out
O0072,D022,P002,R002,0,49,85,86,premium,fast,92.7,189.8,4.7,14.2,1.1,1.12,136.18,159.63,7,available,No,,Filtered out
O0073,D023,P002,R002,19,24,85,86,premium,fast,90.55,165.5,4.7,14.2,1.1,1.12,128.3,141.04,7,available,No,,Filtered out
O0074,D024,P002,R002,67,20,85,86,economical,fast,68.41,210,4.5,14.2,1.1,1.12,59.66,158.48,7,available,No,,Filtered out
